VCD info: dumpfile wave.vcd opened for output.
Time: 0, Date: x/x/x, Time: x:x:x   , Alarm: x, Timer: x
Time: 1000, Date: x/x/x, Time: x:x:x   , Alarm: 0, Timer: x
Time: 1000, Date: 1/1/2020, Time: x:x:x   , Alarm: 0, Timer: 0
Time: 2000, Date: 1/1/2020, Time: 0:0:0   , Alarm: 0, Timer: 0
Reset done at 3000
Time: 5000, Date: 1/1/2020, Time: 0:0:1   , Alarm: 0, Timer: 0
Time: 6000, Date: 31/12/2022, Time: 0:0:2   , Alarm: 0, Timer: 0
Time: 7000, Date: 31/12/2022, Time: 0:0:3   , Alarm: 0, Timer: 0
Time: 8000, Date: 31/12/2022, Time: 0:0:4   , Alarm: 0, Timer: 0
Time: 9000, Date: 31/12/2022, Time: 0:0:5   , Alarm: 0, Timer: 0
Set date to Dec 31 2022, time to 23:53:55 at 9000
Time: 10000, Date: 31/12/2022, Time: 0:0:6   , Alarm: 0, Timer: 0
Time: 11000, Date: 31/12/2022, Time: 23:53:55   , Alarm: 0, Timer: 0
Waiting for next day to start...
Time: 13000, Date: 31/12/2022, Time: 23:53:56   , Alarm: 0, Timer: 0
Time: 14000, Date: 31/12/2022, Time: 23:53:57   , Alarm: 0, Timer: 0
Time: 15000, Date: 31/12/2022, Time: 23:53:58   , Alarm: 0, Timer: 0
Time: 16000, Date: 31/12/2022, Time: 23:53:59   , Alarm: 0, Timer: 0
Time: 17000, Date: 31/12/2022, Time: 23:54:0   , Alarm: 0, Timer: 0
Time: 18000, Date: 31/12/2022, Time: 23:54:1   , Alarm: 0, Timer: 0
Time: 19000, Date: 31/12/2022, Time: 23:54:2   , Alarm: 0, Timer: 0
Time: 20000, Date: 31/12/2022, Time: 23:54:3   , Alarm: 0, Timer: 0
Time: 21000, Date: 31/12/2022, Time: 23:54:4   , Alarm: 0, Timer: 0
Time: 22000, Date: 31/12/2022, Time: 23:54:5   , Alarm: 0, Timer: 0
Time: 23000, Date: 31/12/2022, Time: 23:54:6   , Alarm: 0, Timer: 0
Time: 24000, Date: 31/12/2022, Time: 23:54:7   , Alarm: 0, Timer: 0
Time: 25000, Date: 31/12/2022, Time: 23:54:8   , Alarm: 0, Timer: 0
Time: 26000, Date: 31/12/2022, Time: 23:54:9   , Alarm: 0, Timer: 0
Time: 27000, Date: 31/12/2022, Time: 23:54:10   , Alarm: 0, Timer: 0
Time: 28000, Date: 31/12/2022, Time: 23:54:11   , Alarm: 0, Timer: 0
Time: 29000, Date: 31/12/2022, Time: 23:54:12   , Alarm: 0, Timer: 0
Time: 30000, Date: 31/12/2022, Time: 23:54:13   , Alarm: 0, Timer: 0
Time: 31000, Date: 31/12/2022, Time: 23:54:14   , Alarm: 0, Timer: 0
Time: 32000, Date: 31/12/2022, Time: 23:54:15   , Alarm: 0, Timer: 0
Time: 33000, Date: 31/12/2022, Time: 23:54:16   , Alarm: 0, Timer: 0
Time: 34000, Date: 31/12/2022, Time: 23:54:17   , Alarm: 0, Timer: 0
Time: 35000, Date: 31/12/2022, Time: 23:54:18   , Alarm: 0, Timer: 0
Time: 36000, Date: 31/12/2022, Time: 23:54:19   , Alarm: 0, Timer: 0
Time: 37000, Date: 31/12/2022, Time: 23:54:20   , Alarm: 0, Timer: 0
Time: 38000, Date: 31/12/2022, Time: 23:54:21   , Alarm: 0, Timer: 0
Time: 39000, Date: 31/12/2022, Time: 23:54:22   , Alarm: 0, Timer: 0
Time: 40000, Date: 31/12/2022, Time: 23:54:23   , Alarm: 0, Timer: 0
Time: 41000, Date: 31/12/2022, Time: 23:54:24   , Alarm: 0, Timer: 0
Time: 42000, Date: 31/12/2022, Time: 23:54:25   , Alarm: 0, Timer: 0
Time: 43000, Date: 31/12/2022, Time: 23:54:26   , Alarm: 0, Timer: 0
Time: 44000, Date: 31/12/2022, Time: 23:54:27   , Alarm: 0, Timer: 0
Time: 45000, Date: 31/12/2022, Time: 23:54:28   , Alarm: 0, Timer: 0
Time: 46000, Date: 31/12/2022, Time: 23:54:29   , Alarm: 0, Timer: 0
Time: 47000, Date: 31/12/2022, Time: 23:54:30   , Alarm: 0, Timer: 0
Time: 48000, Date: 31/12/2022, Time: 23:54:31   , Alarm: 0, Timer: 0
Time: 49000, Date: 31/12/2022, Time: 23:54:32   , Alarm: 0, Timer: 0
Time: 50000, Date: 31/12/2022, Time: 23:54:33   , Alarm: 0, Timer: 0
Time: 51000, Date: 31/12/2022, Time: 23:54:34   , Alarm: 0, Timer: 0
Time: 52000, Date: 31/12/2022, Time: 23:54:35   , Alarm: 0, Timer: 0
Time: 53000, Date: 31/12/2022, Time: 23:54:36   , Alarm: 0, Timer: 0
Time: 54000, Date: 31/12/2022, Time: 23:54:37   , Alarm: 0, Timer: 0
Time: 55000, Date: 31/12/2022, Time: 23:54:38   , Alarm: 0, Timer: 0
Time: 56000, Date: 31/12/2022, Time: 23:54:39   , Alarm: 0, Timer: 0
Time: 57000, Date: 31/12/2022, Time: 23:54:40   , Alarm: 0, Timer: 0
Time: 58000, Date: 31/12/2022, Time: 23:54:41   , Alarm: 0, Timer: 0
Time: 59000, Date: 31/12/2022, Time: 23:54:42   , Alarm: 0, Timer: 0
Time: 60000, Date: 31/12/2022, Time: 23:54:43   , Alarm: 0, Timer: 0
Time: 61000, Date: 31/12/2022, Time: 23:54:44   , Alarm: 0, Timer: 0
Time: 62000, Date: 31/12/2022, Time: 23:54:45   , Alarm: 0, Timer: 0
Time: 63000, Date: 31/12/2022, Time: 23:54:46   , Alarm: 0, Timer: 0
Time: 64000, Date: 31/12/2022, Time: 23:54:47   , Alarm: 0, Timer: 0
Time: 65000, Date: 31/12/2022, Time: 23:54:48   , Alarm: 0, Timer: 0
Time: 66000, Date: 31/12/2022, Time: 23:54:49   , Alarm: 0, Timer: 0
Time: 67000, Date: 31/12/2022, Time: 23:54:50   , Alarm: 0, Timer: 0
Time: 68000, Date: 31/12/2022, Time: 23:54:51   , Alarm: 0, Timer: 0
Time: 69000, Date: 31/12/2022, Time: 23:54:52   , Alarm: 0, Timer: 0
